id,age,income,home,emp_length,intent,amount,rate,status,percent_income,default,cred_length,age_group
128,23,50000,Rent,1,Debtconsolidation,25000,7.9,1,0.5,N,3,20-24
129,25,50000,Rent,4,Homeimprovement,25000,5.99,1,0.5,N,2,25-29
130,24,44000,Rent,2,Debtconsolidation,25000,15.33,1,0.57,N,2,20-24
131,23,50000,Rent,1,Venture,25000,11.83,1,0.5,N,4,20-24
132,22,50004,Rent,0,Venture,25000,10.36,1,0.5,N,2,20-24
133,22,50004,Rent,3,Venture,25000,12.23,1,0.5,N,3,20-24
134,22,52000,Rent,2,Education,25000,11.11,1,0.48,N,4,20-24
135,23,13200,Own,3,Debtconsolidation,4950,7.9,1,0.38,N,4,20-24
136,24,220000,Mortgage,1,Education,25000,11.58,0,0.11,N,2,20-24
137,23,216000,Mortgage,5,Debtconsolidation,21000,8.9,0,0.1,N,3,20-24
138,25,216000,Mortgage,2,Education,25000,16.07,0,0.12,N,3,25-29
139,26,216000,Mortgage,10,Education,20000,14.22,0,0.09,Y,2,25-29
140,23,215000,Mortgage,7,Medical,35000,14.79,0,0.16,Y,3,20-24
141,26,215000,Mortgage,11,Education,12000,7.88,0,0.06,N,2,25-29
142,23,52000,Rent,1,Personal,25000,13.22,1,0.48,N,2,20-24
143,26,46000,Rent,2,Debtconsolidation,25000,11.86,1,0.54,N,4,25-29
144,22,53000,Rent,5,Education,25000,13.43,1,0.47,Y,4,20-24
145,26,47000,Rent,0,Homeimprovement,25000,15.28,1,0.53,Y,2,25-29
146,23,47000,Rent,1,Venture,25000,17.93,1,0.53,N,2,20-24
147,23,13200,Mortgage,2,Education,1400,9.25,0,0.11,N,4,20-24
148,21,13200,Own,0,Venture,4500,12.98,1,0.34,N,4,20-24
149,22,210000,Mortgage,6,Venture,16000,10.62,0,0.08,N,4,20-24
150,26,210000,Own,10,Personal,22000,11.83,0,0.1,N,4,25-29
151,26,48000,Rent,5,Venture,25000,18.43,1,0.52,N,2,25-29
152,22,54996,Rent,6,Education,25000,10.99,1,0.45,N,4,20-24
153,24,55000,Rent,4,Homeimprovement,25000,10.99,1,0.45,Y,4,20-24
154,23,55000,Rent,4,Education,25000,11.36,1,0.45,N,3,20-24
155,23,55000,Rent,4,Education,25000,15.65,1,0.45,Y,3,20-24
156,24,55164,Rent,8,Personal,25000,13.22,1,0.45,Y,4,20-24
157,26,56000,Rent,4,Debtconsolidation,25000,12.87,1,0.45,N,2,25-29
158,24,203500,Own,8,Medical,20000,13.04,0,0.1,N,3,20-24
159,23,190000,Mortgage,5,Education,22000,17.58,1,0.12,Y,3,20-24
160,23,13920,Own,2,Personal,7750,17.04,1,0.56,N,4,20-24
161,24,60000,Rent,0,Personal,25000,10.99,1,0.42,N,3,20-24
162,24,60000,Rent,2,Personal,25000,11.11,1,0.42,N,3,20-24
163,26,54000,Rent,7,Debtconsolidation,25000,14.83,1,0.46,Y,2,25-29
164,23,14000,Own,2,Debtconsolidation,4000,10.99,1,0.29,N,3,20-24
165,24,200000,Rent,8,Medical,12000,12.69,0,0.06,N,2,20-24
166,24,200000,Mortgage,8,Homeimprovement,12000,13.49,0,0.06,N,2,20-24
167,21,200000,Mortgage,5,Education,16000,14.65,0,0.08,N,4,20-24
168,25,54000,Rent,3,Homeimprovement,25000,16.82,1,0.46,N,4,25-29
169,23,60000,Rent,3,Personal,25000,12.73,1,0.42,N,3,20-24
170,23,60000,Rent,7,Personal,25000,10.25,1,0.42,N,4,20-24
171,21,60000,Rent,6,Education,25000,10.99,1,0.42,N,4,20-24
172,25,61959,Rent,9,Medical,25000,12.73,1,0.4,N,2,25-29
173,22,56400,Rent,2,Homeimprovement,25000,14.96,1,0.44,Y,3,20-24
174,23,200000,Mortgage,7,Education,28000,10.99,0,0.14,N,2,20-24
175,21,200000,Mortgage,2,Debtconsolidation,25000,13.99,0,0.13,N,2,20-24
176,24,200000,Mortgage,3,Venture,24000,7.49,0,0.12,N,4,20-24
177,26,200000,Mortgage,4,Education,15000,14.79,0,0.07,N,3,25-29
178,25,200000,Mortgage,2,Debtconsolidation,15500,11.99,0,0.08,N,2,25-29
179,24,200000,Rent,8,Education,10000,8.49,0,0.05,N,4,20-24
180,24,66000,Rent,3,Education,25000,9.91,1,0.38,N,2,20-24
181,22,66000,Rent,6,Education,25000,13.06,1,0.38,Y,3,20-24
182,22,200000,Mortgage,6,Debtconsolidation,9000,6.17,0,0.04,N,4,20-24
184,25,200000,Rent,5,Education,18000,16.32,0,0.09,N,3,25-29
185,25,200000,Mortgage,2,Venture,12000,10.38,0,0.06,N,2,25-29
186,25,200000,Mortgage,9,Personal,23050,14.35,0,0.12,N,3,25-29
187,24,200000,Mortgage,8,Debtconsolidation,20000,10.99,0,0.1,N,3,20-24
188,24,60000,Rent,2,Debtconsolidation,25000,10.99,1,0.42,Y,2,20-24
189,21,14400,Own,0,Homeimprovement,3000,10.99,1,0.21,N,4,20-24
190,26,66996,Rent,10,Personal,25000,15.21,1,0.37,Y,2,25-29
191,23,67000,Rent,3,Education,25000,7.9,1,0.37,N,4,20-24
192,24,67000,Rent,2,Venture,25000,10.99,1,0.37,N,3,20-24
193,24,68000,Rent,5,Personal,25000,14.09,1,0.37,Y,3,20-24
194,25,69000,Rent,9,Personal,25000,17.49,1,0.36,N,2,25-29
195,25,200000,Mortgage,0,Education,12000,11.48,0,0.06,N,3,25-29
196,26,188000,Mortgage,10,Venture,20000,17.74,1,0.11,N,2,25-29
197,26,200000,Mortgage,4,Personal,3000,13.92,0,0.01,N,3,25-29
198,25,69996,Rent,9,Education,25000,15.21,1,0.36,N,3,25-29
199,22,14400,Own,2,Medical,4000,10.99,1,0.28,N,3,20-24
200,24,70000,Rent,3,Education,25000,11.86,1,0.36,N,4,20-24
201,24,14400,Own,5,Personal,6000,7.49,1,0.42,N,3,20-24
202,24,56100,Rent,7,Medical,25000,16.49,1,0.38,N,4,20-24
203,25,66000,Rent,9,Venture,25000,15.33,1,0.38,Y,2,25-29
204,26,66000,Rent,3,Homeimprovement,25000,11.58,1,0.38,N,4,25-29
205,25,14400,Own,7,Education,5375,5.79,1,0.37,N,2,25-29
206,25,72612,Rent,9,Medical,25000,13.11,1,0.34,N,2,25-29
207,23,74000,Rent,3,Medical,25000,10.36,1,0.34,N,3,20-24
208,25,75000,Rent,9,Debtconsolidation,25000,10.36,1,0.33,N,2,25-29
209,24,192000,Rent,0,Medical,22000,10.99,0,0.11,Y,2,20-24
211,25,191000,Mortgage,1,Medical,10000,12.53,0,0.05,N,4,25-29
212,26,190300,Mortgage,5,Personal,15000,10.99,0,0.08,N,3,25-29
213,22,190000,Mortgage,3,Venture,10000,10.99,0,0.05,N,3,20-24
214,24,75000,Rent,4,Education,25000,10.25,1,0.33,N,4,20-24
215,22,71000,Rent,1,Education,25000,15.95,1,0.35,Y,4,20-24
216,26,190000,Mortgage,3,Venture,20000,12.18,0,0.11,N,4,25-29
217,23,189996,Own,0,Personal,24000,11.83,0,0.13,N,3,20-24
218,23,78000,Rent,7,Debtconsolidation,25000,10.99,1,0.32,Y,2,20-24
219,23,78000,Rent,1,Venture,25000,10.62,1,0.32,N,3,20-24
220,23,78504,Rent,7,Venture,25000,10.74,1,0.32,N,3,20-24
221,25,186000,Own,9,Venture,10000,10.25,0,0.05,N,4,25-29
222,24,185000,Mortgage,4,Education,35000,12.42,0,0.19,N,2,20-24
223,25,185000,Rent,6,Venture,15000,15.27,0,0.08,N,2,25-29
224,24,62050,Rent,8,Medical,25000,15.33,1,0.34,Y,2,20-24
225,23,79416,Rent,7,Venture,25000,15.21,1,0.31,Y,2,20-24
226,21,14400,Own,4,Venture,6250,14.72,1,0.43,N,2,20-24
227,24,79631,Rent,8,Personal,25000,15.7,1,0.31,Y,2,20-24
228,24,79632,Rent,0,Education,25000,13.35,1,0.31,N,4,20-24
229,21,14400,Mortgage,0,Medical,1500,10.99,0,0.1,N,4,20-24
230,24,80000,Rent,6,Education,25000,6.62,1,0.31,N,2,20-24
231,26,80000,Rent,5,Debtconsolidation,25000,13.61,1,0.31,N,4,25-29
232,22,185000,Rent,4,Medical,25000,11.36,0,0.14,N,2,20-24
233,26,185000,Own,10,Personal,5000,7.68,0,0.03,N,2,25-29
234,24,184992,Rent,7,Homeimprovement,22000,14.46,0,0.12,Y,4,20-24
235,23,184000,Own,5,Education,2500,11.83,0,0.01,N,2,20-24
236,24,172000,Mortgage,6,Debtconsolidation,20000,13.47,1,0.12,Y,4,20-24
237,24,183000,Mortgage,2,Medical,20000,11.49,0,0.11,N,3,20-24
238,22,183000,Mortgage,3,Education,1000,10.99,0,0.01,N,2,20-24
239,25,182952,Mortgage,9,Personal,15000,6.03,0,0.08,N,3,25-29
240,23,74004,Rent,7,Debtconsolidation,25000,16.35,1,0.34,N,4,20-24
241,26,74004,Rent,10,Debtconsolidation,25000,10.99,1,0.34,Y,4,25-29
242,25,81000,Rent,5,Debtconsolidation,25000,7.29,1,0.31,N,3,25-29
243,23,81600,Rent,1,Medical,25000,11.36,1,0.31,N,3,20-24
244,24,82000,Rent,8,Venture,25000,10.25,0,0.3,N,2,20-24
245,24,83000,Rent,5,Education,25000,11.12,0,0.3,N,3,20-24
246,24,83000,Rent,5,Personal,25000,12.92,0,0.3,Y,3,20-24
247,24,180000,Rent,8,Education,18000,18.64,0,0.1,Y,4,20-24
248,23,180000,Mortgage,8,Personal,28000,7.51,0,0.16,N,3,20-24
249,23,14400,Own,2,Homeimprovement,4000,16.7,1,0.28,N,2,20-24
250,22,14400,Own,0,Personal,2100,11.14,0,0.15,N,4,20-24
251,22,84500,Rent,6,Personal,25000,18.3,0,0.3,N,4,20-24
252,24,85000,Rent,5,Medical,25000,10.62,0,0.29,N,4,20-24
253,24,180000,Mortgage,7,Venture,14000,11.99,0,0.08,N,2,20-24
254,26,180000,Mortgage,2,Venture,12000,9.63,0,0.07,N,4,25-29
255,25,142800,Mortgage,9,Medical,10000,18.25,1,0.06,N,4,25-29
256,23,14664,Mortgage,0,Debtconsolidation,6000,10.99,1,0.41,N,4,20-24
257,24,87000,Rent,8,Homeimprovement,25000,14.84,0,0.29,N,3,20-24
258,24,75000,Rent,0,Venture,25000,14.7,1,0.33,Y,3,20-24
259,23,76000,Rent,7,Debtconsolidation,25000,16.02,1,0.33,N,4,20-24
260,23,66215,Rent,1,Medical,25000,15.37,1,0.32,Y,2,20-24
261,25,90000,Rent,9,Medical,25000,10.99,0,0.28,N,4,25-29
262,21,15000,Own,0,Homeimprovement,6200,7.9,1,0.41,N,2,20-24
263,26,180000,Own,2,Personal,25000,10.99,0,0.14,N,4,25-29
264,24,180000,Own,8,Education,21000,11.48,0,0.12,N,3,20-24
265,25,180000,Own,9,Medical,20000,14.26,0,0.11,Y,4,25-29
266,26,180000,Own,0,Homeimprovement,10000,8.0,0,0.06,N,4,25-29
267,25,180000,Mortgage,3,Venture,9950,11.26,0,0.06,N,2,25-29
268,23,15000,Own,7,Medical,4475,10.99,1,0.3,N,4,20-24
269,23,78000,Rent,2,Venture,25000,16.32,1,0.32,Y,3,20-24
270,25,66300,Rent,3,Medical,25000,17.93,1,0.32,Y,4,25-29
271,23,90000,Rent,0,Debtconsolidation,25000,11.36,0,0.28,N,3,20-24
272,24,79000,Rent,9,Debtconsolidation,25000,14.96,1,0.32,Y,4,20-24
273,24,91800,Rent,4,Personal,25000,13.43,0,0.27,Y,3,20-24
274,25,92000,Rent,6,Homeimprovement,25000,12.69,0,0.27,N,3,25-29
275,24,92000,Rent,1,Venture,25000,12.73,0,0.27,Y,4,20-24
276,23,93600,Rent,3,Venture,25000,15.21,0,0.27,N,4,20-24
277,23,15000,Mortgage,1,Medical,1750,12.68,0,0.12,Y,3,20-24
278,23,70550,Rent,3,Medical,25000,19.04,1,0.3,Y,4,20-24
279,25,83800,Rent,2,Debtconsolidation,25000,15.95,1,0.3,Y,3,25-29
280,26,175000,Mortgage,3,Venture,2600,8.9,0,0.01,N,4,25-29
281,25,175000,Mortgage,10,Homeimprovement,8000,7.9,0,0.05,N,2,25-29
282,22,175000,Mortgage,6,Education,18000,10.99,0,0.1,N,2,20-24
283,23,175000,Mortgage,8,Personal,21000,11.99,0,0.12,N,3,20-24
284,23,15000,Own,4,Debtconsolidation,4000,13.98,1,0.27,N,4,20-24
285,23,15000,Own,4,Venture,4600,10.99,1,0.31,N,2,20-24
286,22,88000,Rent,6,Debtconsolidation,25000,15.58,1,0.28,Y,2,20-24
287,25,74800,Rent,2,Medical,25000,10.99,1,0.28,N,2,25-29
288,25,88000,Rent,0,Venture,25000,14.96,1,0.28,N,4,25-29
289,25,15000,Own,2,Homeimprovement,1750,15.31,0,0.12,Y,4,25-29
290,26,88000,Rent,2,Venture,25000,15.65,1,0.28,N,3,25-29
291,25,100000,Rent,1,Venture,25000,9.33,0,0.25,N,4,25-29
292,23,15000,Mortgage,0,Personal,3600,13.47,1,0.24,N,4,20-24
293,24,102400,Rent,8,Personal,25000,10.36,0,0.24,N,3,20-24
294,24,92000,Rent,1,Homeimprovement,25000,16.77,1,0.27,Y,4,20-24
295,23,93000,Rent,0,Debtconsolidation,25000,14.59,1,0.27,Y,2,20-24
296,22,175000,Rent,6,Venture,3500,11.91,0,0.02,Y,2,20-24
297,23,175000,Mortgage,3,Education,7200,8.38,0,0.04,N,3,20-24
298,25,174708,Rent,9,Venture,9000,10.59,0,0.05,N,3,25-29
299,25,174000,Mortgage,2,Debtconsolidation,8800,14.27,0,0.05,N,3,25-29
300,26,174000,Rent,8,Debtconsolidation,12000,12.53,0,0.07,N,4,25-29
301,25,162000,Mortgage,5,Debtconsolidation,25000,16.0,1,0.15,Y,3,25-29
302,26,173467,Mortgage,10,Venture,10000,11.71,0,0.06,N,4,25-29
303,21,15000,Own,0,Homeimprovement,3175,11.54,1,0.21,Y,3,20-24
304,25,96000,Rent,2,Homeimprovement,25000,15.68,1,0.26,Y,4,25-29
305,21,15120,Mortgage,0,Education,1500,10.59,0,0.1,N,2,20-24
306,24,97908,Rent,8,Homeimprovement,25000,12.61,1,0.26,Y,2,20-24
307,26,110000,Rent,3,Personal,25000,10.99,0,0.23,Y,2,25-29
308,23,15204,Mortgage,7,Personal,2800,8.49,1,0.18,N,3,20-24
309,25,159600,Rent,0,Personal,30000,17.27,1,0.19,Y,4,25-29
310,24,171500,Rent,6,Debtconsolidation,18000,8.9,0,0.1,N,4,20-24
311,25,170004,Mortgage,3,Medical,10000,11.11,0,0.06,N,4,25-29
312,24,158004,Rent,0,Homeimprovement,25000,14.59,1,0.16,Y,2,20-24
313,26,170000,Rent,0,Venture,13000,12.42,0,0.08,N,3,25-29
314,24,83300,Rent,0,Medical,25000,10.99,1,0.26,N,2,20-24
315,24,110000,Rent,7,Homeimprovement,25000,15.7,0,0.23,Y,2,20-24
316,22,15360,Own,7,Homeimprovement,2500,12.53,1,0.16,N,3,20-24
317,25,134300,Rent,3,Medical,5000,16.49,1,0.03,N,2,25-29
318,25,170000,Mortgage,2,Education,20000,7.49,0,0.12,N,2,25-29
319,22,100580,Rent,6,Debtconsolidation,25000,14.96,1,0.25,Y,2,20-24
320,25,113000,Rent,7,Medical,25000,12.73,0,0.22,Y,4,25-29
321,24,120000,Rent,8,Education,25000,10.65,0,0.21,N,4,20-24
322,25,120000,Rent,6,Medical,25000,10.74,0,0.21,N,2,25-29
323,23,120000,Rent,7,Education,25000,9.99,0,0.21,N,2,20-24
324,24,91800,Rent,5,Medical,25000,15.33,1,0.23,Y,2,20-24
325,21,15600,Own,5,Venture,1000,7.29,0,0.06,N,4,20-24
326,26,108000,Rent,2,Personal,25000,15.05,1,0.23,N,3,25-29
327,26,129996,Rent,6,Personal,25000,10.75,0,0.19,N,3,25-29
328,23,130000,Rent,4,Education,25000,16.02,0,0.19,Y,2,20-24
329,23,130000,Rent,7,Venture,25000,11.49,0,0.19,N,4,20-24
330,25,170000,Own,4,Education,20000,12.53,0,0.12,N,4,25-29
331,26,170000,Mortgage,0,Venture,12000,13.57,0,0.07,Y,2,25-29
332,22,169000,Rent,1,Personal,14000,11.14,0,0.08,N,3,20-24
333,26,168750,Rent,10,Medical,24250,12.87,0,0.14,Y,3,25-29
334,23,168600,Rent,3,Education,20000,11.58,0,0.12,N,3,20-24
335,24,168288,Rent,5,Homeimprovement,1800,11.12,0,0.01,N,3,20-24
336,25,168000,Mortgage,2,Personal,35000,10.65,0,0.21,N,2,25-29
337,24,133300,Rent,6,Debtconsolidation,25000,10.37,0,0.19,N,2,20-24
338,24,15600,Own,5,Homeimprovement,3300,6.39,1,0.21,N,4,20-24
339,24,134000,Rent,8,Personal,25000,16.07,0,0.19,Y,3,20-24
340,25,134000,Rent,7,Medical,25000,10.62,0,0.19,N,2,25-29
341,25,15600,Own,0,Venture,3200,18.09,1,0.21,N,2,25-29
342,25,135000,Rent,5,Education,25000,11.36,0,0.19,N,4,25-29
343,26,135660,Rent,10,Debtconsolidation,25000,12.53,0,0.18,N,4,25-29
344,25,145000,Rent,0,Education,25000,9.99,0,0.17,N,4,25-29
345,23,150000,Rent,4,Education,25000,10.36,0,0.17,N,3,20-24
346,23,165000,Mortgage,3,Education,9600,5.99,0,0.06,N,3,20-24
347,22,153000,Mortgage,5,Debtconsolidation,24000,15.62,1,0.16,Y,2,20-24
348,24,165000,Mortgage,5,Personal,20000,10.37,0,0.12,N,4,20-24
349,25,165000,Mortgage,0,Homeimprovement,25000,19.74,0,0.15,N,4,25-29
350,21,165000,Mortgage,5,Education,20000,6.91,0,0.12,N,4,20-24
351,23,16000,Own,7,Medical,6000,7.9,1,0.38,N,2,20-24
352,23,16000,Mortgage,3,Debtconsolidation,2275,13.06,0,0.14,Y,4,20-24
353,23,16000,Own,7,Personal,2000,6.39,0,0.13,N,3,20-24
354,23,148000,Rent,1,Debtconsolidation,25000,14.93,1,0.17,N,3,20-24
